sentence,is_related
"Iodine is part of the process of making thyroid hormones, and it's here that a deficiency leads not only to retardation but also to goiter.",True
"Their total weight is nearly one quarter as much as that of the planet, and their gravitational pull as they orbit Shianshenka causes the planet to wobble wildy on its course around its double sun.",True
"Consider some machine models: the Turing machine, random-access machine, cellular automata, boolean circuits, boolean networks, neural networks, P systems.",True
"As GIS becomes all-pervasive with millions across the world using maps every day, the year ahead looks super exciting for the geospatial industry.",True
"To address these important challenges, IBM scientists in Zurich are reporting today in the peer-reviewed journal Lab on a Chip an innovative proof-of-concept technology called the microfluidic probe, which can accurately stain tissue sections at the micrometer scale.",True
"Campsites and other places that don't have access to electricity are not good options for vacationing with rabbits as you wouldn't want your ferret to overheat or freeze.",True
"It is the uncivilized free and wild thinking in Hamlet and the Iliad, in all the scriptures and mythologies, not learned in the schools, that delights us.",True
"Much of the rest of this chapter details other freely available tools that you can use to protect your network and your wireless users against these attacks.",True
"They wish to preserve traditional African drum and dance heritage and promote cultural understanding by educating audiences of all ages about African countries through language, music and movement for a better appreciation of diversity.",True
"If there was this difference between the Aberdeen and the Forfar dialect, how much greater must be that difference when contrasted with the _ore rotundo_ language of an English southern dignitary.",True
"Once the dough is about half to two-thirds of its final length, it may start to resist rolling and even shrink back.",True
"Patwari plans more research on whether different or multiple radio frequencies might detect breathing better than the one 2.4 gigahertz frequency used in the study.",True
"As the area expanded, Disciples of Dirt, Eugene's local mountain bike club, began a dialog with private and federal landowners in an attempt to legitimize and protect the great singletrack that its members had worked so hard to create and maintain.",True
"Due to the low-power architecture of ARM chips, compatibility with Windows 7 applications isn't an option on Windows RT.",True
"Detecting growth under environmental extremes: Spatial and temporal patterns in nucleic acid ratios in two Antarctic bivalves.",True
"Because medical licensing falls under the purview of individual states, the task of securing individual state licenses for multi-state practices can be time consuming and expensive.",True
"A restraining order is actually a civil document that can be obtained without accusing the subject of a specific crime.",True
"More working parents have taken jobs as cashiers, maids, waiters and other low-wage jobs in fast growing sectors that offer fewer hours and benefits, according to The Working Poor Project, a privately funded effort aimed at improving economic security for low-income families.",True
"Each oscillator has two 1v/Octave inputs dedicated to it that are summed together, under the row of 4, the 2 on the left are for the Sine oscillator and 2 on the right are for the variable harmonic.",True
