sentence,is_related
"Patwari plans more research on whether different or multiple radio frequencies might detect breathing better than the one 2.4 gigahertz frequency used in the study.",True
"Due to the low-power architecture of ARM chips, compatibility with Windows 7 applications isn't an option on Windows RT.",True
"Adhesive layer 44 is relatively thin in comparison with the thickness of semiconductor die 50.",True
"Each oscillator has two 1v/Octave inputs dedicated to it that are summed together, under the row of 4, the 2 on the left are for the Sine oscillator and 2 on the right are for the variable harmonic.",True
"On the morning of August 9, 1947, there was a message from Pakistan's first Governor-General, Mohammad Ali Jinnah.",True
"The government and Machar's group reached a separate peace deal in 2015 but the agreement collapsed a year later amid a flare-up of deadly violence in the South Sudanese capital, Juba.",True
"An 8-gigabyte iPod Nano holds more than 100,000 times as much data.",True
"The Act on the Supervision of Financial reporting [Wet toezicht financiële verslaggeving] (Wtfv) came into effect on 31 December 2006.",True
"Egypt got back all of the land [taken by Israel in 1967 as part of the 1979 peace treaty], Jordan satisfied itself on its land issues.",True
"The study uses a broad range of measurements to rank the performance of over 5,000 graduate programs in 62 fields at 212 U.S. universities, including all of the major research universities.",True
"While Alcoholics Anonymous started small in 1935 by Bill Wilson and Dr. Bob Smith, it eventually grew to be the largest and most trusted recovery group around the world with regular meetings occurring in over 170 countries.",True
"A 15-week program that includes specific dietary recommendations to improve health, decrease pain and reduce inflammation.",True
"Edgar Rice Burroughs, who would become very famous as a fiction writer, entered this world of pain of pleasure on September 7, 1875 in Chicago, Illinois.",True
"A dilute (2% w/v) suspension of barium sulfate is most commonly used.",True
"The FLRA is an independent agency responsible for administering the labor-management relations program for more than one million non-Postal Service Federal employees worldwide, the majority of whom are exclusively represented in more than 2,000 bargaining units.",True
"On the other hand, the E3 ubiquitin ligase von Hippel Lindau protein (pVHL) was left unaffected as its target hypoxia inducible factor 1 alpha (HIF-1α) could not be stabilized from oxygen-dependent degradation by erioflorin treatment.",True
"They recorded water temperatures as high as 125 degrees, and found dead ducklings, according to a draft report prepared by the tribes' environmental department.",True
"Soon we dropped into a living forest, where cold-tolerant evergreens and boreal animals still evoke the Canadian heritage of an ecosystem pushed south by glaciers 20,000 years ago.",True
"The Linnean 18(4): 22-23. .",True
"The construction and deployment of these lamps will happen in 2012, when the project is evaluated and refined through government participation.",True
"With a MERV 11 value, it efficiently traps airborne particles such as dust, pollen, dust mites, animal dander, lead dust, mold spores, car fumes and other particles as small as 1.0 microns while allowing a free flow of fresh cleaner air.",True
"The unanimous decision, which was handed down on February 27, 1922, agreed with the lower courts and upheld the Constitutionality of the 19th Amendment.",True
"To refer to a somewhat unusual example, a team of volunteers formed an educational startup based out of Ireland to produce a complete, virtual experience structured around the Apollo 11 landing.",True
"From 1864 to 1870 he was a member of the city government ( Board of Aldermen ) of Jersey City, where he served for three years as its president.",True
"The lateral growth of β-subunit-Gb3 microdomains may be limited by the invagination process which is regulated by membrane tension.",True
"Under current law, it is a class C misdemeanor to leave a child under the age of 7 unattended in a car for more than five minutes.",True
"The Rise of Mercurial Consumption Dr Ian Yeoman As Yeoman argues that in most developed economies pre-Global Financial Crisis (GFC) the precession consumer behaviour was the product of 15 years of uninterrupted prosperity, driven by growth in real levels of disposal incomes, low inflation, stable employment and booming property prices.",True
"If you are 19 or older, all you will need to bring with you are two valid forms of identification, such as a passport or a driver's license or a military identification.",True
"Usually they were fed these dried varieties of hay 4-5 times per day, plus they spent all day grazing in the grass.",True
"There are many cases in the Bible when prominent Jews bowed to kings such as the prophet Natan bowing to David (Melachim 1:1:23) and Yosef's brothers bowing to Yosef (Breishit 42:6).",True
"Consciousness and Cognition 14(4): 653.",True
"Amnesty said on Friday that at least 171 people are believed to have been killed during the past three weeks of protest.",True
"US patent 9,937,225 B2.",True
"It is more important to think about a 5th Dimension than what the anti particle is because most theories predict anti gravity in the 5th dimension (or higher dimensions depending on whose model is used).",True
"Romans 1:24-27 Wherefore God also gave them up to uncleanness through the lusts of their own hearts, to dishonour their own bodies between themselves: 25 Who changed the truth of God into a lie, and worshipped and served the creature more than the Creator, who is blessed for ever.",True
"Iodine is part of the process of making thyroid hormones, and it's here that a deficiency leads not only to retardation but also to goiter.",False
"Their total weight is nearly one quarter as much as that of the planet, and their gravitational pull as they orbit Shianshenka causes the planet to wobble wildy on its course around its double sun.",False
"Consider some machine models: the Turing machine, random-access machine, cellular automata, boolean circuits, boolean networks, neural networks, P systems.",False
"The Sherry region is located near Spain's southernmost point along the coast.",False
"As GIS becomes all-pervasive with millions across the world using maps every day, the year ahead looks super exciting for the geospatial industry.",False
"To address these important challenges, IBM scientists in Zurich are reporting today in the peer-reviewed journal Lab on a Chip an innovative proof-of-concept technology called the microfluidic probe, which can accurately stain tissue sections at the micrometer scale.",False
"Campsites and other places that don't have access to electricity are not good options for vacationing with rabbits as you wouldn't want your ferret to overheat or freeze.",False
"It is the uncivilized free and wild thinking in Hamlet and the Iliad, in all the scriptures and mythologies, not learned in the schools, that delights us.",False
"Much of the rest of this chapter details other freely available tools that you can use to protect your network and your wireless users against these attacks.",False
"Here's Some Tips on Figuring it Out.",False
"They wish to preserve traditional African drum and dance heritage and promote cultural understanding by educating audiences of all ages about African countries through language, music and movement for a better appreciation of diversity.",False
"If there was this difference between the Aberdeen and the Forfar dialect, how much greater must be that difference when contrasted with the _ore rotundo_ language of an English southern dignitary.",False
"Once the dough is about half to two-thirds of its final length, it may start to resist rolling and even shrink back.",False
"Also, stress can worsen the symptoms of OCD.",False
