sentence,is_related
"Iodine is part of the process of making thyroid hormones, and it's here that a deficiency leads not only to retardation but also to goiter.",True
"Consider some machine models: the Turing machine, random-access machine, cellular automata, boolean circuits, boolean networks, neural networks, P systems.",True
"The Sherry region is located near Spain's southernmost point along the coast.",True
"As GIS becomes all-pervasive with millions across the world using maps every day, the year ahead looks super exciting for the geospatial industry.",True
"To address these important challenges, IBM scientists in Zurich are reporting today in the peer-reviewed journal Lab on a Chip an innovative proof-of-concept technology called the microfluidic probe, which can accurately stain tissue sections at the micrometer scale.",True
"Campsites and other places that don't have access to electricity are not good options for vacationing with rabbits as you wouldn't want your ferret to overheat or freeze.",True
"Here's Some Tips on Figuring it Out.",True
"If there was this difference between the Aberdeen and the Forfar dialect, how much greater must be that difference when contrasted with the _ore rotundo_ language of an English southern dignitary.",True
"Once the dough is about half to two-thirds of its final length, it may start to resist rolling and even shrink back.",True
"As the area expanded, Disciples of Dirt, Eugene's local mountain bike club, began a dialog with private and federal landowners in an attempt to legitimize and protect the great singletrack that its members had worked so hard to create and maintain.",True
"Due to the low-power architecture of ARM chips, compatibility with Windows 7 applications isn't an option on Windows RT.",True
"Detecting growth under environmental extremes: Spatial and temporal patterns in nucleic acid ratios in two Antarctic bivalves.",True
"Because medical licensing falls under the purview of individual states, the task of securing individual state licenses for multi-state practices can be time consuming and expensive.",True
"More working parents have taken jobs as cashiers, maids, waiters and other low-wage jobs in fast growing sectors that offer fewer hours and benefits, according to The Working Poor Project, a privately funded effort aimed at improving economic security for low-income families.",True
"Each oscillator has two 1v/Octave inputs dedicated to it that are summed together, under the row of 4, the 2 on the left are for the Sine oscillator and 2 on the right are for the variable harmonic.",True
"Wireless connection is also an uncomplicated, two-stage process, where the printer is first logged onto the cordless network, making use of WPA or WPS.",True
"Indoor Air Quality Make sure your air quality is healthy for your family by having our specialist examine your HVAC system's humidity and filtration efficiency.",True
"On the morning of August 9, 1947, there was a message from Pakistan's first Governor-General, Mohammad Ali Jinnah.",True
"Stable Prices or Sound Money – John Cochran, M I S E S E C O N O M I C S B L O G - As currencies collapse, it's worth realising that Carl Menger's famous law of the marketability of money explains not just the origins of money, but also what happens when money units becomes unmarketable.",True
"The SEER (Surveillance, Epidemiology, and End Results) database is a division of the National Cancer Institute that provides authoritative information about the cancer statistics to the scientists from all over the world.",True
"Fletcher's analysis of dispensationalism is interesting, if less charitable: With respect to the dispensationalist's millennium, Christ in His eschatology, is silent about a corporeal reign in a world power kingdom of Jewish supremacy for a thousand years with headquarters in Jerusalem AFTER His Second Advent.",True
"Over the next two years, the ASPCA will focus on completing their in-depth research and preparing to share the wealth of information they have collected on rehabilitating this special population of dogs with other animal welfare professionals.",True
"The internet of things (IoT) makes it possible to connect municipal services to citizens in ways that enrich their lives – using data and connectivity to improve efficiency and quality of life.",True
"About half of Nevada is experiencing extreme drought, according to the National Drought Mitigation Center, which recognizes only one level as more severe on its five-step scale.",True
"The camera never lies, so we've been altering photographs to suit our needs since the invention of photography itself.",True
"Given Rinpoche's dedication to caring for animals, there was a natural connection between all involved.",True
"The government and Machar's group reached a separate peace deal in 2015 but the agreement collapsed a year later amid a flare-up of deadly violence in the South Sudanese capital, Juba.",True
"The new university of Debrecen, built in the same forest, is rivalling with its up-to-date equipment the most modern scats of learning in Europe.",True
"Engagement with predecessors and peers can also aid Trump's efforts.",True
"An 8-gigabyte iPod Nano holds more than 100,000 times as much data.",True
"The number of PostgreSQL and/or MySQL databases that you can set up varies based on the hosting plan that you have selected.",True
"The Act on the Supervision of Financial reporting [Wet toezicht financiële verslaggeving] (Wtfv) came into effect on 31 December 2006.",True
"Here are some useful websites though: What exercises can I do to help prevent injuries?",True
"Egypt got back all of the land [taken by Israel in 1967 as part of the 1979 peace treaty], Jordan satisfied itself on its land issues.",True
"A 15-week program that includes specific dietary recommendations to improve health, decrease pain and reduce inflammation.",True
"Thus, in the financial governability, the financial markets replace Foucault's populations and the new technology of power is no longer bio-political but it is the computers and the electronic data bases programmed to administer flows of electronic funds, from some place of the great globalized cybernetic space.",True
"The Laboratory welcomes and encourages productive working relationships with both government and nongovernment activities and is always willing to explore new and innovative ways of using the skills of others to enhance the Navy's combat readiness.",True
"They are called the Indus-Sarasvati civilization or, sometimes, the Harappan culture.",True
"This comprehensive series of consumer education games deals players a variety of real-life math and economic situations, answering the question: Why do I need to learn this?",True
"The judging committee declared that Drell's well crafted study richly expands understanding of the ways a dominant family and kinship group could assimilate itself successfully in a world remote from its geographical origins.",True
"Moazami-Goudarzi S, Eftekhar F. Assessment of Carbapenem Susceptibility and Multidrug-Resistance in Pseudomonas aeruginosa Burn Isolates in Tehran.",True
"When students encounter problems, the Instructor's role is to assist them, and give subtle hints so that they will be encouraged to progress independently.",True
"As the Financial Times reported: Lee Kuan Yew, Singapore's first prime minister and a regional elder statesman, said the US risked economic exclusion from Asia unless it reversed its protectionist stance.",True
"Next, the doctor inserts a hollow tube into the womb before using the vacuum to remove the pregnancy-related tissues from the womb.",True
"Even President Abraham Lincoln saw his doppelgänger: A dream or illusion had haunted Lincoln at times through the winter.",True
"Focus on Public Health: Is Your Lifestyle Healthy?",True
"About The Colobus Trust The Colobus Trust is a conservation organization designed to promote the conservation, preservation and protection of primates like the rare Angolan Colobus monkey (Colobus angolensis palliatus) and its coastal forest habitat in southern Kenya.",True
"When fully grown how much on average does a German Australian Shepherd weigh?",True
"To measure the Numerical Aperture (NA) of the Given Optical Fibre.",True
"If checking your email is something that causes stress, consider whether it's your inbox itself, or just a single email you've been waiting for for days.",True
"A dilute (2% w/v) suspension of barium sulfate is most commonly used.",True
"Shock effects of surface and subsurface bursts - The effects of nuclear weapons (third ed.).",True
"The FLRA is an independent agency responsible for administering the labor-management relations program for more than one million non-Postal Service Federal employees worldwide, the majority of whom are exclusively represented in more than 2,000 bargaining units.",True
"On the other hand, the E3 ubiquitin ligase von Hippel Lindau protein (pVHL) was left unaffected as its target hypoxia inducible factor 1 alpha (HIF-1α) could not be stabilized from oxygen-dependent degradation by erioflorin treatment.",True
"This year, three fifth-grade teachers began using electronic SMART Boards in a pilot project.",True
"They recorded water temperatures as high as 125 degrees, and found dead ducklings, according to a draft report prepared by the tribes' environmental department.",True
"In some embodiments, the electrode terminal(s) are axially translated toward the body structure to bore one or more channel(s) or hole(s) through a portion of the structure.",True
"Is your car, truck, or RV having a transmission or transfer case problem?",True
"Soon we dropped into a living forest, where cold-tolerant evergreens and boreal animals still evoke the Canadian heritage of an ecosystem pushed south by glaciers 20,000 years ago.",True
"For decades, economists had devised policy prescriptions based on faulty assumptions of perfect competition, complete information, and, although it wasn't framed in these terms, zero transaction costs.",True
"Their total weight is nearly one quarter as much as that of the planet, and their gravitational pull as they orbit Shianshenka causes the planet to wobble wildy on its course around its double sun.",False
"It is the uncivilized free and wild thinking in Hamlet and the Iliad, in all the scriptures and mythologies, not learned in the schools, that delights us.",False
"Much of the rest of this chapter details other freely available tools that you can use to protect your network and your wireless users against these attacks.",False
"They wish to preserve traditional African drum and dance heritage and promote cultural understanding by educating audiences of all ages about African countries through language, music and movement for a better appreciation of diversity.",False
"Also, stress can worsen the symptoms of OCD.",False
"Patwari plans more research on whether different or multiple radio frequencies might detect breathing better than the one 2.4 gigahertz frequency used in the study.",False
"The particles and the antiparticles are the components of the life flux.",False
"Figuring out the long range can be a very frustrating exercise.",False
"It is believed that the Inns of Chancery evolved in tandem with the Inns of Court.",False
"A restraining order is actually a civil document that can be obtained without accusing the subject of a specific crime.",False
"We know that the water, in the example above, needs to be absorbed by the earth.",False
"Adhesive layer 44 is relatively thin in comparison with the thickness of semiconductor die 50.",False
"The Government is also addressing unemployment through sound economic management that is producing sustained low inflation and interest rates, and steady economic growth.",False
"There are four kinds of cockroaches which usually cause problems in households around the UK and require thorough cockroach pest control procedures.",False
"Some pipes in the home can even be restored with pipe lining, preventing you from having to tear up the floor or walls.",False
"Consequently, a growing number of families and pupils professional essay writing service find it hard to fulfill the costs related to attending college.",False
"Few men and no women serve in the army, a basic rite of civil belonging for other Israelis.",False
"To increase the odds of treatment success, TruStem Cell TherapyTM uses multiple delivery methods including systemic and targeted routes of administration.",False
"Many Americans use charcoal based grills in order to prepare delicious food.",False
"Nestled in the tranquil mountains of Sahyadri range and the Western Ghats, Maharashtra is home to several hill stations with pristine natural beauty and peaceful surrounding.",False
"Second, it would seem that this particular proponent of The Law of Attraction is using an understanding of quantum physics based more on the questions that Schrödinger was trying to answer, rather than on the answers themselves.",False
"Jesus, the Son of God, lived a perfect, sinless life for thirty three and one half years.",False
"During the summer tourism period thousands of tourists visit it every day.",False
"The evidence on whether democratization increases the risk of war is mixed, at best, and policies can be crafted to minimize any risks of conflict in these cases.",False
"Between a tyrant and a prince there is this single or chief difference, that the latter obeys the law and rules the people by its dictates, accounting himself as but their servant.",False
"Local landowners have also played a key role.",False
"But some newer MRI machines have stronger magnets.",False
"The proof that the defendant knowingly possesses contraband will usually depend on inference and circumstantial evidence.",False
"This includes the terraforming of planets including moons, for example of Jupiter and Saturn.",False
"Initially, most surveys involve sampling for temperature and relative humidity.",False
"Manas is recognized not only for its rich biodiversity but also for its spectacular scenery and natural landscape which includes a range of forested hills and tropical evergreen forests.",False
"His research interests include applying advanced signal processing algorithms to sensing applications.",False
"But what if our understanding of cancer is incomplete.",False
"Labour that has to be paid for from the amount we get from recycling those magnets.",False
"Social media has made sharing information and spreading information faster than it takes to blink.",False
"Dr Andrew Smith has also suggested that the dingo may assist in maintaining viable populations of medium size endangered native fauna which are most threatened by feral cats and fox predation.",False
"Due diligence is a legal notion that applies in many contexts across industries.",False
"The study uses a broad range of measurements to rank the performance of over 5,000 graduate programs in 62 fields at 212 U.S. universities, including all of the major research universities.",False
"Teens and young adults can relieve stress by playing video games.",False
